doc_id|title|url|hexagram_img|doc_type|num_paras|total_words|author|year|language|source_url|genre|hexagram_id|canon|modern_name|chinese|english|upper_trigram|upper_trigram_symbol|upper_trigram_element|lower_trigram|lower_trigram_symbol|lower_trigram_element
34|XXXV. The Žin Hexagram|https://sacred-texts.com/ich/ic35.htm|https://sacred-texts.com/ich/img/hex101000.jpg|hexagram|16|978|James Legge|1899|English|https://sacred-texts.com/ich/index.htm|Philosophical/Divination|35|Lower Canon (hex 31-64)|Jin|晋|Progress|Li|☲|Fire|Kun|☷|Earth
35|XXXVI. The Ming Î Hexagram|https://sacred-texts.com/ich/ic36.htm|https://sacred-texts.com/ich/img/hex000101.jpg|hexagram|15|819|James Legge|1899|English|https://sacred-texts.com/ich/index.htm|Philosophical/Divination|36|Lower Canon (hex 31-64)|Ming Yi|明夷|Darkening of the Light|Kun|☷|Earth|Li|☲|Fire
36|XXXVII. The KiâZăn Hexagram|https://sacred-texts.com/ich/ic37.htm|https://sacred-texts.com/ich/img/hex110101.jpg|hexagram|16|585|James Legge|1899|English|https://sacred-texts.com/ich/index.htm|Philosophical/Divination|37|Lower Canon (hex 31-64)|Jia Ren|家人|The Family|Xun|☴|Wind|Li|☲|Fire
37|XXXVIII. The Khwei Hexagram|https://sacred-texts.com/ich/ic38.htm|https://sacred-texts.com/ich/img/hex101011.jpg|hexagram|16|972|James Legge|1899|English|https://sacred-texts.com/ich/index.htm|Philosophical/Divination|38|Lower Canon (hex 31-64)|Kui|睽|Opposition|Li|☲|Fire|Dui|☱|Lake
38|XXXIX. The Kien Hexagram|https://sacred-texts.com/ich/ic39.htm|https://sacred-texts.com/ich/img/hex010100.jpg|hexagram|19|814|James Legge|1899|English|https://sacred-texts.com/ich/index.htm|Philosophical/Divination|39|Lower Canon (hex 31-64)|Jian|蹇|Obstruction|Kan|☵|Water|Gen|☶|Mountain
39|XL. The Kieh Hexagram|https://sacred-texts.com/ich/ic40.htm|https://sacred-texts.com/ich/img/hex001010.jpg|hexagram|14|828|James Legge|1899|English|https://sacred-texts.com/ich/index.htm|Philosophical/Divination|40|Lower Canon (hex 31-64)|Jie|解|Deliverance|Zhen|☳|Thunder|Kan|☵|Water
40|XLI. The Sun Hexagram|https://sacred-texts.com/ich/ic41.htm|https://sacred-texts.com/ich/img/hex100011.jpg|hexagram|16|916|James Legge|1899|English|https://sacred-texts.com/ich/index.htm|Philosophical/Divination|41|Lower Canon (hex 31-64)|Sun|损|Decrease|Gen|☶|Mountain|Dui|☱|Lake
41|XLII. The Yî Hexagram|https://sacred-texts.com/ich/ic42.htm|https://sacred-texts.com/ich/img/hex110001.jpg|hexagram|15|784|James Legge|1899|English|https://sacred-texts.com/ich/index.htm|Philosophical/Divination|42|Lower Canon (hex 31-64)|Yi|益|Increase|Xun|☴|Wind|Zhen|☳|Thunder
42|XLIII. The Kwâi Hexagram|https://sacred-texts.com/ich/ic43.htm|https://sacred-texts.com/ich/img/hex011111.jpg|hexagram|16|911|James Legge|1899|English|https://sacred-texts.com/ich/index.htm|Philosophical/Divination|43|Lower Canon (hex 31-64)|Guai|夬|Breakthrough|Dui|☱|Lake|Qian|☰|Heaven
43|XLIV. The Kâu Hexagram|https://sacred-texts.com/ich/ic44.htm|https://sacred-texts.com/ich/img/hex111110.jpg|hexagram|17|927|James Legge|1899|English|https://sacred-texts.com/ich/index.htm|Philosophical/Divination|44|Lower Canon (hex 31-64)|Gou|姤|Coming to Meet|Qian|☰|Heaven|Xun|☴|Wind
44|XLV. The Žhui Hexagram|https://sacred-texts.com/ich/ic45.htm|https://sacred-texts.com/ich/img/hex011000.jpg|hexagram|18|796|James Legge|1899|English|https://sacred-texts.com/ich/index.htm|Philosophical/Divination|45|Lower Canon (hex 31-64)|Cui|萃|Gathering Together|Dui|☱|Lake|Kun|☷|Earth
45|XLVI. The Shăng Hexagram|https://sacred-texts.com/ich/ic46.htm|https://sacred-texts.com/ich/img/hex000110.jpg|hexagram|16|697|James Legge|1899|English|https://sacred-texts.com/ich/index.htm|Philosophical/Divination|46|Lower Canon (hex 31-64)|Sheng|升|Pushing Upward|Kun|☷|Earth|Xun|☴|Wind
46|XLVII. The Khwăn Hexagram|https://sacred-texts.com/ich/ic47.htm|https://sacred-texts.com/ich/img/hex011010.jpg|hexagram|17|1067|James Legge|1899|English|https://sacred-texts.com/ich/index.htm|Philosophical/Divination|47|Lower Canon (hex 31-64)|Kun|困|Oppression|Dui|☱|Lake|Kan|☵|Water
47|XLVIII. The Žing Hexagram|https://sacred-texts.com/ich/ic48.htm|https://sacred-texts.com/ich/img/hex010110.jpg|hexagram|17|866|James Legge|1899|English|https://sacred-texts.com/ich/index.htm|Philosophical/Divination|48|Lower Canon (hex 31-64)|Jing|井|The Well|Kan|☵|Water|Xun|☴|Wind
48|XLIX. The Ko Hexagram|https://sacred-texts.com/ich/ic49.htm|https://sacred-texts.com/ich/img/hex011101.jpg|hexagram|15|842|James Legge|1899|English|https://sacred-texts.com/ich/index.htm|Philosophical/Divination|49|Lower Canon (hex 31-64)|Ge|革|Revolution|Dui|☱|Lake|Li|☲|Fire
49|L. The Ting Hexagram|https://sacred-texts.com/ich/ic50.htm|https://sacred-texts.com/ich/img/hex101110.jpg|hexagram|17|1050|James Legge|1899|English|https://sacred-texts.com/ich/index.htm|Philosophical/Divination|50|Lower Canon (hex 31-64)|Ding|鼎|The Cauldron|Li|☲|Fire|Xun|☴|Wind
50|LI. The Kăn Hexagram|https://sacred-texts.com/ich/ic51.htm|https://sacred-texts.com/ich/img/hex001001.jpg|hexagram|17|975|James Legge|1899|English|https://sacred-texts.com/ich/index.htm|Philosophical/Divination|51|Lower Canon (hex 31-64)|Zhen|震|The Arousing|Zhen|☳|Thunder|Zhen|☳|Thunder
51|LII. The Kăn Hexagram|https://sacred-texts.com/ich/ic52.htm|https://sacred-texts.com/ich/img/hex100100.jpg|hexagram|17|845|James Legge|1899|English|https://sacred-texts.com/ich/index.htm|Philosophical/Divination|52|Lower Canon (hex 31-64)|Gen|艮|Keeping Still|Gen|☶|Mountain|Gen|☶|Mountain
52|LIII. The Kien Hexagram|https://sacred-texts.com/ich/ic53.htm|https://sacred-texts.com/ich/img/hex110100.jpg|hexagram|17|1095|James Legge|1899|English|https://sacred-texts.com/ich/index.htm|Philosophical/Divination|53|Lower Canon (hex 31-64)|Jian|渐|Development|Xun|☴|Wind|Gen|☶|Mountain
53|LIV. The Kwei Mei Hexagram|https://sacred-texts.com/ich/ic54.htm|https://sacred-texts.com/ich/img/hex001011.jpg|hexagram|16|1137|James Legge|1899|English|https://sacred-texts.com/ich/index.htm|Philosophical/Divination|54|Lower Canon (hex 31-64)|Gui Mei|归妹|The Marrying Maiden|Zhen|☳|Thunder|Dui|☱|Lake
54|LV. The Făng Hexagram|https://sacred-texts.com/ich/ic55.htm|https://sacred-texts.com/ich/img/hex001101.jpg|hexagram|17|1011|James Legge|1899|English|https://sacred-texts.com/ich/index.htm|Philosophical/Divination|55|Lower Canon (hex 31-64)|Feng|丰|Abundance|Zhen|☳|Thunder|Li|☲|Fire
55|LVI. The Lü Hexagram|https://sacred-texts.com/ich/ic56.htm|https://sacred-texts.com/ich/img/hex101100.jpg|hexagram|15|880|James Legge|1899|English|https://sacred-texts.com/ich/index.htm|Philosophical/Divination|56|Lower Canon (hex 31-64)|Lu|旅|The Wanderer|Li|☲|Fire|Gen|☶|Mountain
56|LVII. The Sun Hexagram|https://sacred-texts.com/ich/ic57.htm|https://sacred-texts.com/ich/img/hex110110.jpg|hexagram|18|945|James Legge|1899|English|https://sacred-texts.com/ich/index.htm|Philosophical/Divination|57|Lower Canon (hex 31-64)|Xun|巽|The Gentle|Xun|☴|Wind|Xun|☴|Wind
57|LVIII. The Tui Hexagram|https://sacred-texts.com/ich/ic58.htm|https://sacred-texts.com/ich/img/hex011011.jpg|hexagram|15|641|James Legge|1899|English|https://sacred-texts.com/ich/index.htm|Philosophical/Divination|58|Lower Canon (hex 31-64)|Dui|兑|The Joyous|Dui|☱|Lake|Dui|☱|Lake
58|LIX. The Hwân Hexagram|https://sacred-texts.com/ich/ic59.htm|https://sacred-texts.com/ich/img/hex110010.jpg|hexagram|18|882|James Legge|1899|English|https://sacred-texts.com/ich/index.htm|Philosophical/Divination|59|Lower Canon (hex 31-64)|Huan|涣|Dispersion|Xun|☴|Wind|Kan|☵|Water
59|LX. The Kieh Hexagram|https://sacred-texts.com/ich/ic60.htm|https://sacred-texts.com/ich/img/hex010011.jpg|hexagram|16|697|James Legge|1899|English|https://sacred-texts.com/ich/index.htm|Philosophical/Divination|60|Lower Canon (hex 31-64)|Jie|节|Limitation|Kan|☵|Water|Dui|☱|Lake
60|LXI. The Kung Fû Hexagram|https://sacred-texts.com/ich/ic61.htm|https://sacred-texts.com/ich/img/hex110011.jpg|hexagram|16|870|James Legge|1899|English|https://sacred-texts.com/ich/index.htm|Philosophical/Divination|61|Lower Canon (hex 31-64)|Zhong Fu|中孚|Inner Truth|Xun|☴|Wind|Dui|☱|Lake
61|LXII. The Hsiâo Kwo Hexagram|https://sacred-texts.com/ich/ic62.htm|https://sacred-texts.com/ich/img/hex001100.jpg|hexagram|18|1007|James Legge|1899|English|https://sacred-texts.com/ich/index.htm|Philosophical/Divination|62|Lower Canon (hex 31-64)|Xiao Guo|小过|Small Excess|Zhen|☳|Thunder|Gen|☶|Mountain
62|LXIII. The Kî Žî Hexagram|https://sacred-texts.com/ich/ic63.htm|https://sacred-texts.com/ich/img/hex010101.jpg|hexagram|15|830|James Legge|1899|English|https://sacred-texts.com/ich/index.htm|Philosophical/Divination|63|Lower Canon (hex 31-64)|Ji Ji|既济|After Completion|Kan|☵|Water|Li|☲|Fire
63|LXIV. The Wei Žî Hexagram|https://sacred-texts.com/ich/ic64.htm|https://sacred-texts.com/ich/img/hex101010.jpg|hexagram|18|912|James Legge|1899|English|https://sacred-texts.com/ich/index.htm|Philosophical/Divination|64|Lower Canon (hex 31-64)|Wei Ji|未济|Before Completion|Li|☲|Fire|Kan|☵|Water
64|Section I|https://sacred-texts.com/ich/icap1-1.htm|https://sacred-texts.com/ich/img/hex111000.jpg|appendix|164|8098|James Legge|1899|English|https://sacred-texts.com/ich/index.htm|Philosophical/Divination||Appendix|||||||||
65|Section II|https://sacred-texts.com/ich/icap1-2.htm|https://sacred-texts.com/ich/img/hex110000.jpg|appendix|213|8878|James Legge|1899|English|https://sacred-texts.com/ich/index.htm|Philosophical/Divination||Appendix|||||||||
66|Section I|https://sacred-texts.com/ich/icap2-1.htm||appendix|352|11755|James Legge|1899|English|https://sacred-texts.com/ich/index.htm|Philosophical/Divination||Appendix|||||||||
67|Section II|https://sacred-texts.com/ich/icap2-2.htm||appendix|440|12651|James Legge|1899|English|https://sacred-texts.com/ich/index.htm|Philosophical/Divination||Appendix|||||||||
68|Section I|https://sacred-texts.com/ich/icap3-1.htm|https://sacred-texts.com/ich/img/hex111110.jpg|appendix|172|10549|James Legge|1899|English|https://sacred-texts.com/ich/index.htm|Philosophical/Divination||Appendix|||||||||
69|Section II|https://sacred-texts.com/ich/icap3-2.htm||appendix|141|8982|James Legge|1899|English|https://sacred-texts.com/ich/index.htm|Philosophical/Divination||Appendix|||||||||
70|Section I:Khien|https://sacred-texts.com/ich/icap4-1.htm||appendix|65|3961|James Legge|1899|English|https://sacred-texts.com/ich/index.htm|Philosophical/Divination||Appendix|||||||||
71|Section II: Khwăn|https://sacred-texts.com/ich/icap4-2.htm||appendix|14|646|James Legge|1899|English|https://sacred-texts.com/ich/index.htm|Philosophical/Divination||Appendix|||||||||
72|Appendix V: Treatise of Remarks on the Trigrams|https://sacred-texts.com/ich/icap5.htm||appendix|46|3664|James Legge|1899|English|https://sacred-texts.com/ich/index.htm|Philosophical/Divination||Appendix|||||||||
73|Appendix VI: The Orderly Sequence of the Hexagrams|https://sacred-texts.com/ich/icap6.htm||appendix|38|2058|James Legge|1899|English|https://sacred-texts.com/ich/index.htm|Philosophical/Divination||Appendix|||||||||
74|Appendix VII|https://sacred-texts.com/ich/icap7.htm||appendix|53|561|James Legge|1899|English|https://sacred-texts.com/ich/index.htm|Philosophical/Divination||Appendix|||||||||
